id,Longitude,Latitude,Elevation
Bin 1,77.3347813,23.304101,0
Bin 2,77.3704869,23.2735121,0
Bin 3,77.3536641,23.2977946,0
Bin 4,77.4044759,23.3028398,0
Bin 5,77.4147755,23.2760351,0
Bin 6,77.4319417,23.2990559,0
Bin 7,77.3838765,23.3025245,0
Bin 8,77.4006993,23.2384996,0
Bin 9,77.4793202,23.2514332,0
Bin 10,77.4034459,23.2214632,0
Bin 11,77.4497945,23.252695,0
Bin 12,77.4501378,23.2321901,0
Bin 13,77.3371846,23.2713044,0
Bin 14,77.4714238,23.2325055,0
Bin 15,77.3883397,23.2277732,0
Bin 16,77.4000127,23.2668888,0
Bin 17,77.4432713,23.2113665,0
Bin 18,77.4329716,23.2467015,0
Bin 19,77.3794133,23.2151528,0
Bin 20,77.4707371,23.2179925,0
Bin 21,77.4168355,23.217677,0
Bin 22,77.3619038,23.2047401,0
Bin 23,77.4161488,23.1981134,0
Bin 24,77.3423344,23.194011,0
Bin 25,77.4495858,23.1926238,0
Start,77.3980873,23.2560399,0